FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
0 23 001,Artículos aplicables a la notificación rápida de un accidente,0,Reservada,,,,,
0 23 001,Artículos aplicables a la notificación rápida de un accidente,1,Artículos 1 y 2,,,,,
0 23 001,Artículos aplicables a la notificación rápida de un accidente,2,Artículo 3,,,,,
0 23 001,Artículos aplicables a la notificación rápida de un accidente,3,Artículo 5.2,,,,,
0 23 001,Artículos aplicables a la notificación rápida de un accidente,4,Reservadas,,,,,
0 23 001,Artículos aplicables a la notificación rápida de un accidente,5,Reservadas,,,,,
0 23 001,Artículos aplicables a la notificación rápida de un accidente,6,Reservadas,,,,,
0 23 001,Artículos aplicables a la notificación rápida de un accidente,7,Valor faltante,,,,,
0 23 002,Actividad o instalación relacionada con el incidente,0,Reservada,,,,,
0 23 002,Actividad o instalación relacionada con el incidente,1,Reactor nuclear en tierra,,,,,
0 23 002,Actividad o instalación relacionada con el incidente,2,Reactor nuclear en el mar,,,,,
0 23 002,Actividad o instalación relacionada con el incidente,3,Reactor nuclear en el espacio,,,,,
0 23 002,Actividad o instalación relacionada con el incidente,4,Instalación de combustible nuclear,,,,,
0 23 002,Actividad o instalación relacionada con el incidente,5,Instalación de gestión de desechos radiactivos,,,,,
0 23 002,Actividad o instalación relacionada con el incidente,6,Transporte de combustible nuclear o de desechos radiactivos,,,,,
0 23 002,Actividad o instalación relacionada con el incidente,7,Almacenamiento de combustible nuclear o de desechos radiactivos,,,,,
0 23 002,Actividad o instalación relacionada con el incidente,8,Fabricación de radioisótopos,,,,,
0 23 002,Actividad o instalación relacionada con el incidente,9,Utilización de radioisótopos,,,,,
0 23 002,Actividad o instalación relacionada con el incidente,10,Almacenamiento de radioisótopos,,,,,
0 23 002,Actividad o instalación relacionada con el incidente,11,Eliminación de radioisótopos,,,,,
0 23 002,Actividad o instalación relacionada con el incidente,12,Transporte de radioisótopos,,,,,
