TABLE_NO,TABLE_NAME,CODEFLAG,ELEMENT,OTHER
0 33 002,Información sobre la calidad,Cifra de clave,Datos no sospechosos,
0 33 002,Información sobre la calidad,Cifra de clave,Datos sospechosos,
0 33 002,Información sobre la calidad,Cifra de clave,Reservada,
0 33 002,Información sobre la calidad,Cifra de clave,Información sobre la calidad no proporcionada,
0 33 003,Información sobre la calidad,Cifra de clave,Datos no sospechosos,
0 33 003,Información sobre la calidad,Cifra de clave,Datos ligeramente sospechosos,
0 33 003,Información sobre la calidad,Cifra de clave,Datos muy sospechosos,
0 33 003,Información sobre la calidad,Cifra de clave,Datos considerados inapropiados para utilizarlos,
0 33 003,Información sobre la calidad,Cifra de clave,Reservadas,
0 33 003,Información sobre la calidad,Cifra de clave,Información sobre la calidad no proporcionada,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Verificaciones automáticas de datos meteorológicos no realizadas,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Datos de presión sospechosos,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Datos de viento sospechosos,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Datos de temperatura del aire sospechosos,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Datos de temperatura de bulbo húmedo sospechosos,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Datos de humedad sospechosos,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Datos de temperatura del terreno sospechosos,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Datos de temperatura del suelo (profundidad 1) sospechosos,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Datos de temperatura del suelo (profundidad 2) sospechosos,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Datos de temperatura del suelo (profundidad 3) sospechosos,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Datos de temperatura del suelo (profundidad 4) sospechosos,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Datos de temperatura del suelo (profundidad 5) sospechosos,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Datos de nubes sospechosos,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Datos de visibilidad sospechosos,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Datos de tiempo presente sospechosos,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Datos de rayos sospechosos,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Datos de depósito de hielo sospechosos,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Datos de precipitación sospechosos,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Datos de estado del terreno sospechosos,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Datos de nieve sospechosos,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Datos de contenido de agua sospechosos,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Datos de evaporación/evapotranspiración sospechosos,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Datos de insolación sospechosos,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Reservados,
0 33 005,Información sobre la calidad (datos EMA),Número del bit,Valor faltante,
0 33 006,Información interna sobre el estado de la medición (EMA),Cifra de clave,Ningún problema luego de la autoverificación,
0 33 006,Información interna sobre el estado de la medición (EMA),Cifra de clave,"Al menos un aviso activo, sin alarmas",
0 33 006,Información interna sobre el estado de la medición (EMA),Cifra de clave,Al menos una alarma activa,
0 33 006,Información interna sobre el estado de la medición (EMA),Cifra de clave,Desperfecto del sensor,
0 33 006,Información interna sobre el estado de la medición (EMA),Cifra de clave,Reservadas,
0 33 006,Información interna sobre el estado de la medición (EMA),Cifra de clave,Valor faltante,
0 33 015,Indicador de verificación de la calidad de los datos,Cifra de clave,Todas las verificaciones superadas,
0 33 015,Indicador de verificación de la calidad de los datos,Cifra de clave,Verificación de datos faltantes,
0 33 015,Indicador de verificación de la calidad de los datos,Cifra de clave,Verificación de globo descendente/reascendente,
0 33 015,Indicador de verificación de la calidad de los datos,Cifra de clave,Verificación de la plausibilidad de los datos (por encima de los límites),
0 33 015,Indicador de verificación de la calidad de los datos,Cifra de clave,Verificación de la plausibilidad de los datos (por debajo de los límites),
0 33 015,Indicador de verificación de la calidad de los datos,Cifra de clave,Verificación del gradiente superadiabático,
0 33 015,Indicador de verificación de la calidad de los datos,Cifra de clave,Verificación de ángulos limitantes,
0 33 015,Indicador de verificación de la calidad de los datos,Cifra de clave,Verificación de la tasa de ascenso,
0 33 015,Indicador de verificación de la calidad de los datos,Cifra de clave,Variación excesiva respecto al vuelo anterior,
0 33 015,Indicador de verificación de la calidad de los datos,Cifra de clave,Verificación general del globo,
0 33 015,Indicador de verificación de la calidad de los datos,Cifra de clave,Verificación de la velocidad del viento,
0 33 015,Indicador de verificación de la calidad de los datos,Cifra de clave,Verificación de la dirección del viento,
0 33 015,Indicador de verificación de la calidad de los datos,Cifra de clave,Verificación de dependencia,
0 33 015,Indicador de verificación de la calidad de los datos,Cifra de clave,Datos válidos pero modificados,
0 33 015,Indicador de verificación de la calidad de los datos,Cifra de clave,Verificación del valor atípico de los datos,
0 33 015,Indicador de verificación de la calidad de los datos,Cifra de clave,Reservadas,
0 33 015,Indicador de verificación de la calidad de los datos,Cifra de clave,Valor faltante,
0 33 020,Indicación del control de calidad del valor siguiente,Cifra de clave,Buena,
0 33 020,Indicación del control de calidad del valor siguiente,Cifra de clave,Inconsistente,
0 33 020,Indicación del control de calidad del valor siguiente,Cifra de clave,Dudosa,
0 33 020,Indicación del control de calidad del valor siguiente,Cifra de clave,Errada,
0 33 020,Indicación del control de calidad del valor siguiente,Cifra de clave,No verificada,
0 33 020,Indicación del control de calidad del valor siguiente,Cifra de clave,Fue modificada,
0 33 020,Indicación del control de calidad del valor siguiente,Cifra de clave,Estimada,
0 33 020,Indicación del control de calidad del valor siguiente,Cifra de clave,Valor faltante,
