ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status
,,010001,Altura del terreno,m,0,-400,15,m,0,5,,,
,,010002,Altura,m,-1,-40,16,m,-1,5,,,
,,010003,Geopotencial,m² s-2,-1,-400,17,m² s-2,-1,6,,,
,,010004,Presión,Pa,-1,0,14,Pa,-1,5,,,
,,010007,Altura,m,0,-1000,17,m,0,6,,,
,,010008,Geopotencial,m² s-2,0,-10000,20,m² s-2,0,7,,,
,,010009,Altura geopotencial,gpm,0,-1000,17,gpm,0,5,,,
,,010010,Presión mínima reducida al nivel medio del mar,Pa,-1,0,14,Pa,-1,5,,,
,,010011,Presión máxima reducida al nivel medio del mar,Pa,-1,0,14,Pa,-1,5,,,
,,010031,Distancia desde el centro de la Tierra en dirección al polo Norte (véanse las notas 2 y 3),m,2,-1073741824,31,m,2,10,,,
,,010032,Distancia del satélite al centro de la Tierra,m,1,0,27,m,2,9,,,
,,010033,Altitud (plataforma a elipsoide),m,1,0,27,m,2,9,,,
,,010034,Radio de la Tierra,m,1,0,27,m,2,9,,,
,,010035,Radio local de curvatura de la Tierra,m,1,62000000,22,m,1,8,,,
,,010036,Ondulación del geoide,m,2,-15000,15,m,2,6,(véase la nota 4),,
,,010038,Altura máxima de carga en cubierta sobre la línea de carga máxima de verano,m,0,0,6,m,0,2,,,
,,010039,Desviación del nivel de referencia (línea de carga máxima de verano) a partir del nivel del mar real,m,0,-32,6,m,0,3,,,
,,010040,Recuperación de datos sobre el número de capas,Numérica,0,0,10,Numérica,0,4,,,
,,010050,Desviación típica de la altitud,m,2,0,16,m,2,5,,,
,,010051,Presión reducida al nivel medio del mar,Pa,-1,0,14,Pa,-1,5,,,
,,010052,Ajuste del altímetro (QNH),Pa,-1,0,14,Pa,-1,5,,,
,,010053,Altitud del Sistema mundial de satélites para la navegación,m,0,-1000,17,m,0,5,,,
,,010060,Cambio de presión,Pa,-1,-1024,11,Pa,-1,4,,,
,,010061,Cambio de presión en 3 horas,Pa,-1,-500,10,Pa,-1,4,,,
,,010062,Cambio de presión en 24 horas,Pa,-1,-1000,11,Pa,-1,4,,,
,,010063,Característica de la tendencia barométrica,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,
,,010064,Nivel de crucero SIGMET,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,
,,010070,Altitud de la aeronave indicada,m,0,-400,16,m,0,5,,,
,,010071,Resolución vertical,m,0,0,14,m,0,5,,,
,,010079,Ángulo desde el nadir del satélite según los datos de la plataforma,°,4,0,16,°,4,5,,,
,,010080,Ángulo de visión cenital,°,2,-9000,15,°,2,5,,,
,,010081,Altitud del centro de gravedad sobre el elipsoide de referencia,m,3,0,31,m,3,10,,,
,,010082,Tasa de altitud instantánea,m s-1,3,-65536,17,m s-1,3,6,,,
,,010083,Ángulo de nadir al cuadrado externo del satélite mediante datos de plataforma,grado2,2,0,16,grado2,2,5,,,
,,010084,Ángulo de nadir al cuadrado externo del satélite mediante datos de forma de onda,grado2,2,0,16,grado2,2,5,,,
,,010085,Altura media de la superficie del mar,m,3,-131072,18,m,3,6,,,
,,010086,Altura del geoide,m,3,-131072,18,m,3,6,,,
,,010087,Profundidad del océano/elevación de la tierra,m,1,-131072,18,m,1,6,,,
,,010088,Altura total de la marea oceánica geocéntrica (solución 1),m,3,-32768,16,m,3,5,,,
,,010089,Altura total de la marea oceánica geocéntrica (solución 2),m,3,-32768,16,m,3,5,,,
,,010090,Altura de la marea de período largo,m,3,-32768,16,m,3,5,,,
,,010091,Altura de la carga de la marea,m,3,-32768,16,m,3,5,,,
,,010092,Altura de la marea en tierra sólida,m,3,-32768,16,m,3,5,,,
,,010093,Altura de la marea en polo geocéntrico,m,3,-32768,16,m,3,5,,,
,,010095,Altura de la atmósfera utilizada,m,3,0,16,m,0,5,,,
,,010096,Topografía dinámica media,m,3,-131072,18,m,3,6,,,
,,010097,Altura media de la superficie del mar mediante altímetro únicamente,m,3,-131072,18,m,3,6,,,
,,010098,Altura de la carga de la marea - marea oceánica geocéntrica (solución 1),m,4,-2000,12,m,4,4,,,
,,010099,Altura de la carga de la marea - marea oceánica geocéntrica (solución 2),m,4,-2000,12,m,4,4,,,
,,010100,Altura de la marea de período largo no en equilibrio,m,4,-2000,12,m,4,4,,,
,,010101,Cuadrado del ángulo del satélite respecto del nadir según datos de la forma de onda,grado2,2,-32768,16,grado2,2,5,,,
,,010102,Anomalía de la altura de la superficie del mar,m,3,-32768,16,m,3,5,,,
,,010103,Exactitud de la topografía dinámica media,m,3,-131072,18,m,3,6,,,
