Category,CategoryOfSequences_fr,FXY1,Title_fr,SubTitle_fr,FXY2,ElementName_fr,ElementDescription_fr,Note_fr,noteIDs,Status
10,Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),310001,(Satellite — température de luminance),,301042,"Indicateur d'identification du satellite, instrument, technique de traitement des données, date/heure, position",,,,Operational
10,Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),310001,(Satellite — température de luminance),,303031,"Données significatives, terre/mer, température de la pellicule superficielle",,,,Operational
10,Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),310001,(Satellite — température de luminance),,303032,Nuages,,,,Operational
10,Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),310001,(Satellite — température de luminance),,101026,Répéter 1 descripteur 26 fois,,,,Operational
10,Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),310001,(Satellite — température de luminance),,303025,Canal de satellite et température de luminance,,,,Operational
10,Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),310002,(Satellite — basse altitude),,301042,"Indicateur d'identification du satellite, instrument, technique de traitement des données, date/heure, position",,,,Operational
10,Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),310002,(Satellite — basse altitude),,303031,"Données significatives, terre/mer, température de la pellicule superficielle",,,,Operational
10,Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),310002,(Satellite — basse altitude),,303032,Nuages,,,,Operational
10,Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),310002,(Satellite — basse altitude),,101009,Répéter 1 descripteur 9 fois,,,,Operational
10,Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),310002,(Satellite — basse altitude),,303023,Température moyenne de la couche,,,,Operational
10,Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),310003,(Satellite — haute altitude),,301042,"Indicateur d'identification du satellite, instrument, technique de traitement des données, date/heure, position",,,,Operational
