Category,CategoryOfSequences_es,FXY1,Title_es,SubTitle_es,FXY2,ElementName_es,ElementDescription_es,Note_es,noteIDs,Status
,,,Números de bloque y de la estación de la OMM,,,,,,,
,,301001,,,001001,Número de bloque de la OMM,,,,
,,,,,001002,Número de la estación de la OMM,,,,
,,301002,,,001003,Número de Región de la OMM /zona geográfica,,,,
,,,,,001004,Subárea de Región de la OMM,,,,
,,,,,001005,Identificador de boya/plataforma,,,,
,,,Señal de llamada del buque y movimiento,,,,,,,
,,301003,,,001011,Identificador de buque o de estación terrestre móvil,Señal de llamada del buque,,,
,,,,,001012,Dirección del movimiento de la plataforma de observación,,,,
,,,,,001013,Velocidad del movimiento de la plataforma de,,,,
,,,,,,observación,,,,
,,,Identificación de la estación de superficie,,,,,,,
,,301004,,,001001,Número de bloque de la OMM,,,,
,,,,,001002,Número de la estación de la OMM,,,,
,,,,,001015,Nombre de la estación o emplazamiento,,,,
,,,,,002001,Tipo de estación,,,,
,,,Centro de origen/centro secundario,,,,,,,
,,301005,,,001035,Centro de origen,,,,
,,,,,001034,Identificación del centro secundario de origen/,,,,
,,,,,,generación,,,,
,,,"Año, mes, día",,,,,,,
,,301011,,,004001,Año,,,,
,,,,,004002,Mes,,,,
,,,,,004003,Día,,,,
,,,"Hora, minuto",,,,,,,
,,301012,,,004004,Hora,,,,
,,,,,004005,Minuto,,,,
,,,"Hora, minuto, segundo",,,,,,,
,,301013,,,004004,Hora,,,,
,,,,,004005,Minuto,,,,
,,,,,004006,Segundo,,,,
,,,Período de tiempo,,,,,,,
,,301014,,,102002,Repetir 2 descriptores 2 veces,,,,
,,,,,301011,"Año, mes, día",,,,
,,,,,301012,"Hora, minuto",,,,
,,,Señal de llamada del buque encriptada y método de encriptación,,,,Véanse las notas 2 a 4,,,
,,301018,,,002114,Identificador encriptado del buque o de la estación terrestre móvil (encriptación base64),,,,
,,,,,025185,Método de encriptación,,,,
,,,,,025186,Versión de la clave de encriptación,,,,
,,,Latitud/longitud (gran precisión),,,,,,,
,,301021,,,005001,Latitud (gran precisión),,,,
,,,,,006001,Longitud (gran precisión),,,,
