Category,CategoryOfSequences_es,FXY1,Title_es,SubTitle_es,FXY2,ElementName_es,ElementDescription_es,Note_es,noteIDs,Status
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),312001,,,301043,"Identificador del satÃ©lite, mÃ©todo de cÃ¡lculo del viento, fecha/hora, localizaciÃ³n",,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,304001,"PresiÃ³n en la cima de las nubes, temperatura, viento",,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),312002,,,301043,"Identificador del satÃ©lite, mÃ©todo de cÃ¡lculo del viento, fecha/hora, localizaciÃ³n",,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,304002,"PresiÃ³n en la cima de las nubes, viento",,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),312003,,,301042,"Identificador del satÃ©lite, instrumento, tÃ©cnica de procesamiento de datos, fecha/hora, localizaciÃ³n",,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,304003,Temperatura de la superficie,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),312004,,,301042,"Identificador del satÃ©lite, instrumento, tÃ©cnica de procesamiento de datos, fecha/hora, localizaciÃ³n",,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,304004,"PresiÃ³n en la cima de las nubes, capa de nubes, temperatura",,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),312005,,,301042,"Identificador del satÃ©lite, instrumento, tÃ©cnica de procesamiento de datos, fecha/hora, localizaciÃ³n",,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,020014,Altura de la cima de las nubes,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),312006,,,301044,"Identificador del satÃ©lite, mÃ©todo de cÃ¡lculo de la humedad, fecha/hora, localizaciÃ³n",,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,304005,Humedad relativa media de la capa,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),312007,,,301042,"Identificador del satÃ©lite, instrumento, tÃ©cnica de procesamiento de datos, fecha/hora, localizaciÃ³n",,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,304006,RadiaciÃ³n,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),312010,"(InformaciÃ³n orbital, parte I)",,001007,Identificador del satÃ©lite,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,005040,NÃºmero de Ã³rbita,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,002021,Datos de instrumentos satelitales utilizados en el procesamiento,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,005041,NÃºmero de lÃ­nea de exploraciÃ³n,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,004001,AÃ±o,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,004043,DÃ­a del aÃ±o,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),312011,"(InformaciÃ³n orbital, parte II)",,202131,Cambio de escala,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,201149,Cambio de anchura de datos,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,004006,Segundo,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,201000,Cambio de anchura de datos,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,202126,Cambio de escala,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,010002,Altura,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,202000,Cambio de escala,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,005043,NÃºmero de campo de visiÃ³n,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,005053,Incremento del nÃºmero de campo de visiÃ³n,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),312012,(Temperaturas de luminancia medidas mediante sonda HIRS â€” canales 1 a 19),,202129,Cambio de escala,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,201132,Cambio de anchura de datos,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,101019,Repetir 1 descriptor 19 veces,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,012063,Temperatura de luminancia,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,201000,Cambio de anchura de datos,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,202000,Cambio de escala,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),312013,(Temperaturas de luminancia medidas mediante sonda HIRS â€” canal 20),,005042,NÃºmero de canal,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,202129,Cambio de escala,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,201135,Cambio de anchura de datos,,,,Operational
12,Secuencias de los informes de las observaciones de nivel único (datos satelitales),,,,012063,Temperatura de luminancia,,,,Operational
