FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
0 19 001,Tipo de característica sinóptica,0,Depresión o mínimo barométrico (extratropical),,,,,
0 19 001,Tipo de característica sinóptica,1,Depresión tropical,,,,,
0 19 001,Tipo de característica sinóptica,2,Tormenta tropical,,,,,
0 19 001,Tipo de característica sinóptica,3,Tormenta tropical fuerte,,,,,
0 19 001,Tipo de característica sinóptica,4,Tifón,,,,,
0 19 001,Tipo de característica sinóptica,5-9,Reservadas,,,,,
0 19 001,Tipo de característica sinóptica,10,Tempestad de polvo/arena,,,,,
0 19 001,Tipo de característica sinóptica,11-62,Reservadas,,,,,
0 19 001,Tipo de característica sinóptica,63,Valor faltante,,,,,
0 19 008,Extensión vertical de la circulación,0,Reservada,,,,,
0 19 008,Extensión vertical de la circulación,1,Poco profundo (tope de la circulación por debajo del nivel de 700 hPa),,,,,
0 19 008,Extensión vertical de la circulación,2,Medio (tope entre los niveles de 700 y 400 hPa),,,,,
0 19 008,Extensión vertical de la circulación,3,Profundo (tope por encima del nivel 400 hPa),,,,,
0 19 008,Extensión vertical de la circulación,4-6,Reservadas,,,,,
0 19 008,Extensión vertical de la circulación,7,Valor faltante,,,,,
0 19 010,Método de seguimiento del centro de la característica sinóptica,1,Valor mínimo de la presión al nivel del mar,,,,,
0 19 010,Método de seguimiento del centro de la característica sinóptica,2,Valor máximo de la vorticidad relativa a 850 hPa,,,,,
0 19 010,Método de seguimiento del centro de la característica sinóptica,3-14,Reservadas,,,,,
0 19 010,Método de seguimiento del centro de la característica sinóptica,15,Valor faltante,,,,,
0 19 100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,0-2,No utilizado,,,,,
0 19 100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,3,Durante los 15 minutos anteriores,,,,,
0 19 100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,4,Durante los 30 minutos anteriores,,,,,
0 19 100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,5,Durante la hora anterior,,,,,
0 19 100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,6,Durante las 2 horas anteriores,,,,,
0 19 100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,7,Durante las 3 horas anteriores,,,,,
0 19 100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,8,Durante las 6 horas anteriores,,,,,
0 19 100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,9,Durante un período de más de 6 horas,,,,,
0 19 100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,10,Indeterminado,,,,,
0 19 100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,11-14,No utilizadas,,,,,
0 19 100,Intervalo de tiempo para calcular el desplazamiento del ciclón tropical,15,Valor faltante,,,,,
0 19 101,Precisión de la posición del centro del ciclón tropical,0,Reservada,,,,,
0 19 101,Precisión de la posición del centro del ciclón tropical,1,"Ojo visible en la pantalla del radar, precisión buena (en 10 km)",,,,,
0 19 101,Precisión de la posición del centro del ciclón tropical,2,"Ojo visible en la pantalla del radar, precisión bastante buena (en 30 km)",,,,,
0 19 101,Precisión de la posición del centro del ciclón tropical,3,"Ojo visible en la pantalla del radar, precisión escasa (en 50 km)",,,,,
0 19 101,Precisión de la posición del centro del ciclón tropical,4,"Posición del centro dentro del área abarcada por la pantalla del radar, determinación mediante la configuración de la banda en espiral, precisión buena (en 10 km)",,,,,
0 19 101,Precisión de la posición del centro del ciclón tropical,5,"Posición del centro dentro del área abarcada por la pantalla del radar, determinación mediante la configuración de la banda en espiral, precisión bastante buena (en 30 km)",,,,,
0 19 101,Precisión de la posición del centro del ciclón tropical,6,"Posición del centro dentro del área abarcada por la pantalla del radar, determinación mediante la configuración de la banda en espiral, precisión escasa (en 50 km)",,,,,
0 19 101,Precisión de la posición del centro del ciclón tropical,7,"Posición del centro fuera del área abarcada por la pantalla del radar, extrapolación mediante la configuración de la banda en espiral",,,,,
0 19 101,Precisión de la posición del centro del ciclón tropical,8-9,Reservadas,,,,,
0 19 101,Precisión de la posición del centro del ciclón tropical,10,Precisión indeterminada,,,,,
0 19 101,Precisión de la posición del centro del ciclón tropical,11-14,No utilizadas,,,,,
0 19 101,Precisión de la posición del centro del ciclón tropical,15,Valor faltante,,,,,
0 19 102,Forma y definición del ojo del ciclón tropical,0,Circular,,,,,
0 19 102,Forma y definición del ojo del ciclón tropical,1,"Elíptica – la longitud del eje menor alcanza, por lo menos, los 3/4 del eje mayor",,,,,
0 19 102,Forma y definición del ojo del ciclón tropical,2,Elíptica - la longitud del eje menor es inferior a 3/4 del eje mayor,,,,,
0 19 102,Forma y definición del ojo del ciclón tropical,3,Doble ojo aparente,,,,,
0 19 102,Forma y definición del ojo del ciclón tropical,4,Otra forma,,,,,
0 19 102,Forma y definición del ojo del ciclón tropical,5,Mal definido,,,,,
0 19 102,Forma y definición del ojo del ciclón tropical,6,Indeterminado,,,,,
0 19 103,Diámetro del eje principal del ojo del ciclón tropical,0,Menos de 5 km,,,,,
0 19 103,Diámetro del eje principal del ojo del ciclón tropical,1,De 5 a menos de 10 km,,,,,
0 19 103,Diámetro del eje principal del ojo del ciclón tropical,2,De 10 a menos de 15 km,,,,,
0 19 103,Diámetro del eje principal del ojo del ciclón tropical,3,De 15 a menos de 20 km,,,,,
0 19 103,Diámetro del eje principal del ojo del ciclón tropical,4,De 20 a menos de 25 km,,,,,
0 19 103,Diámetro del eje principal del ojo del ciclón tropical,5,De 25 a menos de 30 km,,,,,
0 19 103,Diámetro del eje principal del ojo del ciclón tropical,6,De 30 a menos de 35 km,,,,,
0 19 103,Diámetro del eje principal del ojo del ciclón tropical,7,De 35 a menos de 40 km,,,,,
0 19 103,Diámetro del eje principal del ojo del ciclón tropical,8,De 40 a menos de 50 km,,,,,
0 19 103,Diámetro del eje principal del ojo del ciclón tropical,9,Más de 50 km,,,,,
0 19 103,Diámetro del eje principal del ojo del ciclón tropical,10,Indeterminado,,,,,
0 19 103,Diámetro del eje principal del ojo del ciclón tropical,11-14,No utilizadas,,,,,
0 19 103,Diámetro del eje principal del ojo del ciclón tropical,15,Valor faltante,,,,,
0 19 104,Cambio de naturaleza del ojo durante los 30 minutos,0,El ojo comenzó a hacerse visible durante los 30 minutos anteriores,,,,,
0 19 104,Cambio de naturaleza del ojo durante los 30 minutos,1,No ha habido cambio significativo en las características o el tamaño del ojo,,,,,
0 19 104,Cambio de naturaleza del ojo durante los 30 minutos,2,El ojo se ha hecho más pequeño sin ningún otro cambio significativo de las características,,,,,
0 19 104,Cambio de naturaleza del ojo durante los 30 minutos,3,El ojo se ha hecho mayor sin ningún otro cambio significativo de las características,,,,,
0 19 104,Cambio de naturaleza del ojo durante los 30 minutos,4,El ojo se ha hecho menos nítido sin ningún otro cambio significativo en el tamaño,,,,,
0 19 104,Cambio de naturaleza del ojo durante los 30 minutos,5,El ojo se ha hecho menos nítido y disminuyó de tamaño,,,,,
0 19 104,Cambio de naturaleza del ojo durante los 30 minutos,6,El ojo se ha hecho menos nítido y aumentó de tamaño,,,,,
0 19 104,Cambio de naturaleza del ojo durante los 30 minutos,7,El ojo se ha hecho más nítido sin ningún otro cambio significativo en el tamaño,,,,,
0 19 104,Cambio de naturaleza del ojo durante los 30 minutos,8,El ojo se ha hecho más nítido y disminuyó de tamaño,,,,,
0 19 104,Cambio de naturaleza del ojo durante los 30 minutos,9,El ojo se ha hecho más nítido y aumentó de tamaño,,,,,
0 19 104,Cambio de naturaleza del ojo durante los 30 minutos,10,El cambio en la naturaleza y el tamaño del ojo no puede determinarse,,,,,
0 19 104,Cambio de naturaleza del ojo durante los 30 minutos,11-14,No utilizadas,,,,,
0 19 104,Cambio de naturaleza del ojo durante los 30 minutos,15,Valor faltante,,,,,
0 19 105,Distancia entre el fin de la banda en espiral y el centro,0,0 a menos de 100 km,,,,,
0 19 105,Distancia entre el fin de la banda en espiral y el centro,1,100 a menos de 200 km,,,,,
0 19 105,Distancia entre el fin de la banda en espiral y el centro,2,200 a menos de 300 km,,,,,
0 19 105,Distancia entre el fin de la banda en espiral y el centro,3,300 a menos de 400 km,,,,,
0 19 105,Distancia entre el fin de la banda en espiral y el centro,4,400 a menos de 500 km,,,,,
0 19 105,Distancia entre el fin de la banda en espiral y el centro,5,500 a menos de 600 km,,,,,
0 19 105,Distancia entre el fin de la banda en espiral y el centro,6,600 a menos de 800 km,,,,,
0 19 105,Distancia entre el fin de la banda en espiral y el centro,7,800 km o más,,,,,
0 19 105,Distancia entre el fin de la banda en espiral y el centro,8-9,Reservadas,,,,,
0 19 105,Distancia entre el fin de la banda en espiral y el centro,10,Dudosa o indeterminada,,,,,
0 19 105,Distancia entre el fin de la banda en espiral y el centro,11-14,No utilizadas,,,,,
0 19 105,Distancia entre el fin de la banda en espiral y el centro,15,Valor faltante,,,,,
0 19 107,Intervalo de tiempo respect del que se ha calculado el desplazamiento del ciclón tropical,0,Menos de una hora,,,,,
0 19 107,Intervalo de tiempo respect del que se ha calculado el desplazamiento del ciclón tropical,1,De 1 a menos de 2 horas,,,,,
0 19 107,Intervalo de tiempo respect del que se ha calculado el desplazamiento del ciclón tropical,2,De 2 a menos de 3 horas,,,,,
0 19 107,Intervalo de tiempo respect del que se ha calculado el desplazamiento del ciclón tropical,3,De 3 a menos de 6 horas,,,,,
0 19 107,Intervalo de tiempo respect del que se ha calculado el desplazamiento del ciclón tropical,4,De 6 a menos de 9 horas,,,,,
0 19 107,Intervalo de tiempo respect del que se ha calculado el desplazamiento del ciclón tropical,5,De 9 a menos de 12 horas,,,,,
0 19 107,Intervalo de tiempo respect del que se ha calculado el desplazamiento del ciclón tropical,6,De 12 a menos de 15 horas,,,,,
0 19 107,Intervalo de tiempo respect del que se ha calculado el desplazamiento del ciclón tropical,7,De 15 a menos de 18 horas,,,,,
0 19 107,Intervalo de tiempo respect del que se ha calculado el desplazamiento del ciclón tropical,8,De 18 a menos de 21 horas,,,,,
0 19 107,Intervalo de tiempo respect del que se ha calculado el desplazamiento del ciclón tropical,9,De 21 a menos de 30 horas,,,,,
0 19 107,Intervalo de tiempo respect del que se ha calculado el desplazamiento del ciclón tropical,10-14,No utilizadas,,,,,
0 19 107,Intervalo de tiempo respect del que se ha calculado el desplazamiento del ciclón tropical,15,Valor faltante,,,,,
0 19 108,Precisión de la posición geográfica del ciclón tropical,0,Centro del ciclón a menos de 10 km de la posición transmitida,,,,,
0 19 108,Precisión de la posición geográfica del ciclón tropical,1,Centro del ciclón a menos de 20 km de la posición transmitida,,,,,
0 19 108,Precisión de la posición geográfica del ciclón tropical,2,Centro del ciclón a menos de 50 km de la posición transmitida,,,,,
0 19 108,Precisión de la posición geográfica del ciclón tropical,3,Centro del ciclón a menos de 100 km de la posición transmitida,,,,,
0 19 108,Precisión de la posición geográfica del ciclón tropical,4,Centro del ciclón a menos de 200 km de la posición transmitida,,,,,
0 19 108,Precisión de la posición geográfica del ciclón tropical,5,Centro del ciclón a menos de 300 km de la posición transmitida,,,,,
0 19 108,Precisión de la posición geográfica del ciclón tropical,6,Centro del ciclón indeterminado,,,,,
0 19 108,Precisión de la posición geográfica del ciclón tropical,7,Valor faltante,,,,,
0 19 109,Diámetro medio de la cobertura nubosa del cicló tropical,0,Menos de 1º de latitud,,,,,
0 19 109,Diámetro medio de la cobertura nubosa del cicló tropical,1,De 1 a menos de 2º de latitud,,,,,
0 19 109,Diámetro medio de la cobertura nubosa del cicló tropical,2,De 2 a menos de 3º de latitud,,,,,
0 19 109,Diámetro medio de la cobertura nubosa del cicló tropical,3,De 3 a menos de 4º de latitud,,,,,
0 19 109,Diámetro medio de la cobertura nubosa del cicló tropical,4,De 4 a menos de 5º de latitud,,,,,
0 19 109,Diámetro medio de la cobertura nubosa del cicló tropical,5,De 5 a menos de 6º de latitud,,,,,
0 19 109,Diámetro medio de la cobertura nubosa del cicló tropical,6,De 6 a menos de 7º de latitud,,,,,
0 19 109,Diámetro medio de la cobertura nubosa del cicló tropical,7,De 7 a menos de 8° de latitud,,,,,
0 19 109,Diámetro medio de la cobertura nubosa del cicló tropical,8,De 8 a menos de 9° de latitud,,,,,
0 19 109,Diámetro medio de la cobertura nubosa del cicló tropical,9,9° de latitud o más,,,,,
0 19 109,Diámetro medio de la cobertura nubosa del cicló tropical,10,Indeterminada,,,,,
0 19 109,Diámetro medio de la cobertura nubosa del cicló tropical,11-14,No utilizadas,,,,,
0 19 109,Diámetro medio de la cobertura nubosa del cicló tropical,15,Valor faltante,,,,,
0 19 110,Cambio aparente en 24 horas de la intensidad del clicón tropical,0,Tipo,,,,,
0 19 110,Cambio aparente en 24 horas de la intensidad del clicón tropical,1,Debilitándose mucho,,,,,
0 19 110,Cambio aparente en 24 horas de la intensidad del clicón tropical,2,Debilitándose,,,,,
0 19 110,Cambio aparente en 24 horas de la intensidad del clicón tropical,3,Ningún cambio,,,,,
0 19 110,Cambio aparente en 24 horas de la intensidad del clicón tropical,4,Intensificación,,,,,
0 19 110,Cambio aparente en 24 horas de la intensidad del clicón tropical,5,Fuerte intensificación,,,,,
0 19 110,Cambio aparente en 24 horas de la intensidad del clicón tropical,5-8,Reservadas,,,,,
0 19 110,Cambio aparente en 24 horas de la intensidad del clicón tropical,9,No observado anteriormente,,,,,
0 19 110,Cambio aparente en 24 horas de la intensidad del clicón tropical,10,Indeterminada,,,,,
0 19 110,Cambio aparente en 24 horas de la intensidad del clicón tropical,11-14,No utilizadas,,,,,
0 19 110,Cambio aparente en 24 horas de la intensidad del clicón tropical,15,Valor faltante,,,,,
0 19 113,Tipo de configuración nubosa del número de DT,Tipo,,,,,,
0 19 113,Tipo de configuración nubosa del número de DT,1,Banda curvada,,,,,
0 19 113,Tipo de configuración nubosa del número de DT,2,Cortante,,,,,
0 19 113,Tipo de configuración nubosa del número de DT,3,Ojo,,,,,
0 19 113,Tipo de configuración nubosa del número de DT,4,Ojo en franja,,,,,
0 19 113,Tipo de configuración nubosa del número de DT,5,Cobertura central densa (CDO),,,,,
0 19 113,Tipo de configuración nubosa del número de DT,6,Centro subsumido,,,,,
0 19 113,Tipo de configuración nubosa del número de DT,7,Cubierta fría central (CCC),,,,,
0 19 113,Tipo de configuración nubosa del número de DT,8-14,Reservadas,,,,,
0 19 113,Tipo de configuración nubosa del número de DT,15,Valor faltante,,,,,
0 19 117,Tipo de imagen de la nube del número de PT,Tipo,,,,,,
0 19 117,Tipo de imagen de la nube del número de PT,1,A (bandada curvada),,,,,
0 19 117,Tipo de imagen de la nube del número de PT,2,B (CDO),,,,,
0 19 117,Tipo de imagen de la nube del número de PT,3,C (cortante),,,,,
0 19 117,Tipo de imagen de la nube del número de PT,4-6,Reservadas,,,,,
0 19 117,Tipo de imagen de la nube del número de PT,7,Valor faltante,,,,,
0 19 119,Tipo del número T final,Tipo,,,,,,
0 19 119,Tipo del número T final,1,Número DT,,,,,
0 19 119,Tipo del número T final,2,Número PT,,,,,
0 19 119,Tipo del número T final,3,Número MET,,,,,
0 19 119,Tipo del número T final,4-6,Reservadas,,,,,
0 19 119,Tipo del número T final,7,Valor faltante,,,,,
