ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status
,,0040001,Humedad del suelo en superficie (ms),%,1,0,10,%,1,4,,,
,,0040002,Error estimado en la humedad del suelo en superficie,%,1,0,10,%,1,4,,,
,,0040003,Humedad media del suelo en superficie,Numérica,3,0,10,Numérica,3,4,,,
,,0040004,Detección de la precipitación de lluvia,Numérica,3,0,10,Numérica,3,4,,,
,,0040005,Banderín de corrección de la humedad del suelo,Tabla de banderines,0,0,8,Tabla de banderines,0,3,,,
,,0040006,Banderín de procesamiento de la humedad del suelo,Tabla de banderines,0,0,16,Tabla de banderines,0,6,,,
,,0040007,Calidad de la humedad del suelo,%,1,0,10,%,1,4,,,
,,0040008,Fracción de la superficie terrestre congelada,%,1,0,10,%,1,4,,,
,,0040009,Fracción de la inundación y los humedales,%,1,0,10,%,1,4,,,
,,0040010,Complejidad topográfica,%,1,0,10,%,1,4,,,
,,0040011,Banderín de interpolación,Tabla de banderines,0,0,8,Tabla de banderines,0,3,,,
,,0040012,Banderín de calidad de datos radiométricos,Tabla de banderines,0,0,8,Tabla de banderines,0,3,,,
,,0040013,Banderín de interpretación de la temperatura de brillo radiométrica,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,
,,0040014,Fluctuaciones de alta frecuencia de la corrección de la topografía,m,4,-3000,13,m,4,4,,,
,,0040015,Índice de vegetación diferencial normalizado (IVDN),Numérica,2,-100,8,Numérica,2,3,,,
,,0040016,Media cuadrátrica residual en la franja,Numérica,3,0,14,Numérica,3,5,,,
,,0040017,Índice del componente principal no normalizado,Numérica,0,-1073741824,31,Numérica,0,10,,,
,,0040018,GIacAvgImagIIS – Promedio de las mediciones del reproductor de imág,W m² sr⁻¹ m,6,0,24,W m² sr⁻¹ m,6,8,,,
,,0040019,GIacVarImagIIS – Variancia de las mediciones del reproductor de imá,W m² sr⁻¹ m,6,0,24,W m² sr⁻¹ m,6,8,,,
,,0040020,GqisFlagQualDetailed - Banderín de calidad del sistema,Tabla de banderines,0,0,17,Tabla de banderines,0,6,,,
,,0040021,Fracción de píxel AVHRR ponderado en un campo de visión de IASI cub,%,0,0,7,%,0,3,,,
,,0040022,"Número de píxeles AVHRR faltantes, defectuosos o ausentes",Numérica,0,0,7,Numérica,0,3,,,
,,0040023,Banderines de estado del altímetro auxiliar,Tabla de banderines,0,0,5,Tabla de banderines,0,2,,,
,,0040024,Disponibilidad de mapa meteorológico,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,
,,0040025,Banderín de interpolación para la marea diurna media,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,0040026,Factor de cuantificación del índice,Numérica,2,0,16,Numérica,2,5,,,
,,0040027,Ángulo del destello solar,°,2,-18000,16,°,2,5,,,
,,0040028,Banderín de calidad GMI,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,
,,0040029,Longitud horizontal de integración de las observaciones,m,0,0,26,m,0,8,,,
,,0040030,Línea horizontal de viento a la vista,m s⁻¹,2,-32767,16,m s⁻¹,2,5,,,
,,0040031,Estimación del error de la línea horizontal de viento a la vista,m s⁻¹,2,0,15,m s⁻¹,2,5,,,
,,0040032,Viento derivado de la presión,m s⁻¹ Pa⁻¹,3,-100000,18,m s⁻¹ Pa⁻¹,3,6,,,
,,0040033,Viento derivado de la temperatura,m s⁻¹ K⁻¹,3,-100000,18,m s⁻¹ K⁻¹,3,6,,,
,,0040034,Viento derivado de la tasa de retrodispersión,m s⁻¹,3,-200000,19,m s⁻¹,3,6,,,
,,0040035,Distancia del satélite,m,0,380000,18,m,0,6,,,
,,0040036,Tipo de clasificación de productos Lidar L2b,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,
,,0040037,Tasa de retrodispersión,Numérica,3,500,20,Numérica,3,7,,,
,,0040038,Tamaño de las partículas de la nube,m,7,0,28,m,7,6,,,
,,0040039,Intensidad de las imágenes complejas de observación única,Numérica,2,-25,5,Numérica,0,3,,,
,,0040040,Asimetría de las imágenes complejas de observación única,Numérica,2,1,13,Numérica,0,4,,,
,,0040041,Curtosis de las imágenes complejas de observación única,Numérica,2,1,13,Numérica,0,4,,,
,,0040042,Varianza de las imágenes complejas de observación única,Numérica,2,1,13,Numérica,0,4,,,
,,0040043,Indicador de maniobras del satélite,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,
,,0040044,Índice de polvo,Numérica,1,0,8,Numérica,1,,,,
,,0040045,Formación de nubes y determinación de la altura,Tabla de banderines,0,0,5,Tabla de banderines,0,2,,,
,,0040046,Resumen de nubosidad,Tabla de cifrado,0,0,3,Tabla de cifrado,0,,,,
,,0040047,Banderín de validación para productos IASI o IASI-NG de nivel 1,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,
,,0040048,Banderín de validación del flujo de datos de nivel 1 de la sonda AM,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,
