TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT,NOM de L’ÉLÉMENT
Table D/10 BUFR – 1,3 10 001,3 01 042,"(Satellite — température de luminance) Indicateur d'identification du satellite, instrument, technique de traitement des données, date/heure, position",,
Table D/10 BUFR – 1,3 10 001,3 03 031,"Données significatives, terre/mer, température de la pellicule superficielle",,
Table D/10 BUFR – 1,3 10 001,3 03 032,Nuages,,
Table D/10 BUFR – 1,3 10 001,1 01 026,Répéter 1 descripteur 26 fois,,
Table D/10 BUFR – 1,3 10 001,3 03 025,Canal de satellite et température de luminance,,
Table D/10 BUFR – 1,3 10 002,3 01 042,"(Satellite — basse altitude) Indicateur d'identification du satellite, instrument, technique de traitement des données, date/heure, position",,
Table D/10 BUFR – 1,3 10 002,3 03 031,"Données significatives, terre/mer, température de la pellicule superficielle",,
Table D/10 BUFR – 1,3 10 002,3 03 032,Nuages,,
Table D/10 BUFR – 1,3 10 002,1 01 009,Répéter 1 descripteur 9 fois,,
Table D/10 BUFR – 1,3 10 002,3 03 023,Température moyenne de la couche,,
Table D/10 BUFR – 1,3 10 003,3 01 042,"(Satellite — haute altitude) Indicateur d'identification du satellite, instrument, technique de traitement des données, date/heure, position",,
Table D/10 BUFR – 1,3 10 003,3 03 031,"Données significatives, terre/mer, température de la pellicule superficielle",,
Table D/10 BUFR – 1,3 10 003,3 03 032,Nuages,,
Table D/10 BUFR – 1,3 10 003,1 01 006,Répéter 1 descripteur 6 fois,,
Table D/10 BUFR – 1,3 10 003,3 03 023,Température moyenne de la couche,,
Table D/10 BUFR – 1,3 10 004,3 01 042,"(Satellite — eau précipitable) Indicateur d'identification du satellite, instrument, technique de traitement des données, date/heure, position",,
Table D/10 BUFR – 1,3 10 004,3 03 031,"Données significatives, terre/mer, température de la pellicule superficielle",,
Table D/10 BUFR – 1,3 10 004,3 03 032,Nuages,,
Table D/10 BUFR – 1,3 10 004,1 01 003,Répéter 1 descripteur 3 fois,,
Table D/10 BUFR – 1,3 10 004,3 03 024,Eau précipitable,,
Table D/10 BUFR – 1,3 10 005,3 01 042,"Indicateur d'identification du satellite, instrument, technique de traitement des données, date/heure, position",,
Table D/10 BUFR – 1,3 10 005,3 03 031,"Données significatives, terre/mer, température de la pellicule superficielle",,
Table D/10 BUFR – 1,3 10 005,3 03 033,Nuages,,
Table D/10 BUFR – 1,3 10 005,1 01 000,Répétition différée de 1 descripteur,,
Table D/10 BUFR – 1,3 10 005,0 31 001,Facteur de répétition différée du descripteur,,
Table D/10 BUFR – 1,3 10 005,3 03 025,Canal de satellite et température de luminance,,
Table D/10 BUFR – 2,3 10 006,3 01 042,"Indicateur d'identification du satellite, instrument, technique de traitement des données, date/heure, position",,
Table D/10 BUFR – 2,3 10 006,3 03 031,"Données significatives, terre/mer, température de la pellicule superficielle",,
Table D/10 BUFR – 2,3 10 006,3 03 033,Nuages,,
Table D/10 BUFR – 2,3 10 006,1 01 000,Répétition différée de 1 descripteur,,
Table D/10 BUFR – 2,3 10 006,0 31 001,Facteur de répétition différée du descripteur,,
Table D/10 BUFR – 2,3 10 006,3 03 023,Température moyenne de la couche,,
Table D/10 BUFR – 2,3 10 007,3 01 042,"Indicateur d'identification du satellite, instrument, technique de traitement des données, date/heure, position",,
Table D/10 BUFR – 2,3 10 007,3 03 031,"Données significatives, terre/mer, température de la pellicule superficielle",,
Table D/10 BUFR – 2,3 10 007,3 03 033,Nuages,,
Table D/10 BUFR – 2,3 10 007,1 01 000,Répétition différée de 1 descripteur,,
Table D/10 BUFR – 2,3 10 007,0 31 001,Facteur de répétition différée du descripteur,,
Table D/10 BUFR – 2,3 10 007,3 03 024,Eau précipitable,,
Table D/10 BUFR – 2,3 10 008,3 10 011,(Données de l'ATOVS HIRS) Paramètres du champ de vision du sondeur ATOVS,,
Table D/10 BUFR – 2,3 10 008,1 01 019,Répéter 1 descripteur 19 fois,,
Table D/10 BUFR – 2,3 10 008,3 10 012,Paramètres du canal du sondeur ATOVS,,
Table D/10 BUFR – 2,3 10 008,0 02 150,Numéro du canal de l'instrument TOVS/ ATOVS/AVHRR,,
Table D/10 BUFR – 2,3 10 008,0 25 079,"Luminance énergétique d'albédo-éclairement énergétique après filtrage solaire, pour le sondeur ATOVS",,
Table D/10 BUFR – 2,3 10 008,0 25 080,"Luminance énergétique d'albédo-largeur équivalente du filtre, pour le sondeur ATOVS",,
Table D/10 BUFR – 2,3 10 008,0 33 032,Indicateurs de qualité du canal du sondeur ATOVS,,
Table D/10 BUFR – 2,3 10 008,0 14 045,Luminance énergétique dans le canal,,
Table D/10 BUFR – 2,3 10 009,3 10 011,(Données AMSU-A de l'ATOVS) Paramètres du champ de vision du sondeur ATOVS,,
Table D/10 BUFR – 2,3 10 009,1 01 015,Répéter 1 descripteur 15 fois,,
Table D/10 BUFR – 2,3 10 009,3 10 012,Paramètres du canal du sondeur ATOVS,,
Table D/10 BUFR – 2,3 10 010,3 10 011,(Données AMSU-B/MHS de l'ATOVS) Paramètres du champ de vision du sondeur ATOVS,,
Table D/10 BUFR – 2,3 10 010,1 01 005,Répéter 1 descripteur 5 fois,,
Table D/10 BUFR – 2,3 10 010,3 10 012,Paramètres du canal du sondeur ATOVS,,
Table D/10 BUFR – 2,3 10 011,0 08 070,(Paramètres du champ de vision du sondeur ATOVS) Identificateur de produits de sondages verticaux,,
Table D/10 BUFR – 2,3 10 011,0 01 033,Identification du centre d'origine/de production,,
Table D/10 BUFR – 3,3 10 011,0 01 034,Identification du centre secondaire d'origine/de production,,
Table D/10 BUFR – 3,3 10 011,0 08 070,Identificateur de produits de sondages verticaux,,
Table D/10 BUFR – 3,3 10 011,0 01 033,Identification du centre d'origine/de production,,
Table D/10 BUFR – 3,3 10 011,0 01 034,Identification du centre secondaire d'origine/de production,,
Table D/10 BUFR – 3,3 10 011,0 01 007,Indicateur d'identification du satellite,,
Table D/10 BUFR – 3,3 10 011,0 02 048,Indicateur de détecteur de satellite,,
Table D/10 BUFR – 3,3 10 011,0 05 040,Numéro de l'orbite,,
Table D/10 BUFR – 3,3 10 011,0 25 075,"Corrections d'antenne de satellite, numéro de version",,
Table D/10 BUFR – 3,3 10 011,2 01 133,Changer le champ de données,,
Table D/10 BUFR – 3,3 10 011,0 05 041,Numéro de la ligne de balayage,,
Table D/10 BUFR – 3,3 10 011,2 01 000,Changer le champ de données,,
Table D/10 BUFR – 3,3 10 011,0 05 043,Numéro du champ de vision,,
Table D/10 BUFR – 3,3 10 011,0 25 070,Numéro de paquet principal,,
Table D/10 BUFR – 3,3 10 011,0 33 030,Indicateurs d'état pour la ligne de balayage du sondeur ATOVS,,
Table D/10 BUFR – 3,3 10 011,0 33 031,Indicateurs de qualité de la ligne de balayage du sondeur ATOVS,,
Table D/10 BUFR – 3,3 10 011,0 04 001,Année,,
Table D/10 BUFR – 3,3 10 011,0 04 002,Mois,,
Table D/10 BUFR – 3,3 10 011,0 04 003,Jour,,
Table D/10 BUFR – 3,3 10 011,0 04 004,Heure,,
Table D/10 BUFR – 3,3 10 011,0 04 005,Minute,,
Table D/10 BUFR – 3,3 10 011,2 02 131,Changer d'échelle,,
Table D/10 BUFR – 3,3 10 011,2 01 138,Changer le champ de données,,
Table D/10 BUFR – 3,3 10 011,0 04 006,Seconde,,
Table D/10 BUFR – 3,3 10 011,2 01 000,Changer le champ de données,,
Table D/10 BUFR – 3,3 10 011,2 02 000,Changer d'échelle,,
Table D/10 BUFR – 3,3 10 011,0 05 001,Latitude (précision élevée),,
Table D/10 BUFR – 3,3 10 011,0 06 001,Longitude (précision élevée),,
